x_mm,y_mm
9.847155374760082225e+01,6.584907274323009574e+01
9.793279015214025662e+01,6.604716976757201508e+01
9.739689985139209227e+01,6.624402842887707266e+01
9.686402919580137905e+01,6.643979054770336745e+01
9.633432090188482277e+01,6.663459907240128643e+01
9.580791396904150758e+01,6.682859796951326814e+01
9.528494359925205970e+01,6.702193211299034203e+01
9.476554111971833549e+01,6.721474717230788087e+01
9.424983390849395448e+01,6.740718949956514905e+01
9.373794532315326933e+01,6.759940601565236307e+01
9.322999463254456032e+01,6.779154409557189354e+01
9.272609695167018629e+01,6.798375145299937117e+01
9.222636317973478981e+01,6.817617602417219302e+01
9.173089994139999703e+01,6.836896585119312419e+01
9.123980953128122451e+01,6.856226896483751432e+01
9.075318986172041491e+01,6.875623326695321680e+01
9.027113441386563863e+01,6.895100641254232698e+01
8.979373219208609669e+01,6.914673569161523403e+01
8.932106768174840283e+01,6.934356791090644379e+01
8.885322081037804764e+01,6.954164927554334952e+01
8.839026691222659338e+01,6.974112527075810419e+01
8.793227669626317322e+01,6.994214054373381373e+01
8.747931621760629639e+01,7.014483878567561703e+01
8.703144685240891931e+01,7.034936261419765913e+01
8.658872527620773951e+01,7.055585345611670789e+01
8.615120344574464184e+01,7.076445143074320754e+01
8.571892858426606665e+01,7.097529523375996519e+01
8.529194317030277261e+01,7.118852202177870936e+01
8.487028492993094630e+01,7.140426729766447522e+01
8.445398683251171690e+01,7.162266479671673380e+01
8.404307708990512538e+01,7.184384637379685046e+01
8.363757915915009278e+01,7.206794189148948249e+01
8.323751174860143465e+01,7.229507910938595217e+01
8.284288882751070560e+01,7.252538357457679297e+01
8.245371963903606627e+01,7.275897851343900413e+01
8.207000871666377861e+01,7.299598472480441558e+01
8.169175590402079479e+01,7.323652047459270875e+01
8.131895637805619970e+01,7.348070139199322170e+01
8.095160067556643924e+01,7.372864036727806081e+01
8.058967472303635304e+01,7.398044745132749256e+01
8.023315986976682268e+01,7.423622975694863158e+01
7.988203292425616553e+01,7.449609136206566973e+01
7.953626619380041518e+01,7.476013321486021823e+01
7.919582752727615116e+01,7.502845304093764867e+01
7.886068036106557599e+01,7.530114525259493519e+01
7.853078376808285554e+01,7.557830086026307015e+01
7.820609250985765470e+01,7.586000738619696904e+01
7.788655709162934215e+01,7.614634878048248368e+01
7.757212382040427201e+01,7.643740533943001481e+01
7.726273486592504014e+01,7.673325362642196978e+01
7.695832832449953287e+01,7.703396639527917955e+01
7.665883828563517000e+01,7.733961251621025212e+01
7.636419490142162658e+01,7.765025690440596406e+01
7.607432445860345638e+01,7.796596045133804864e+01
7.578914945328237707e+01,7.828677995882117102e+01
7.550858866818653325e+01,7.861276807589372595e+01
7.523255725244287362e+01,7.894397323857168658e+01
7.496096680378641963e+01,7.928043961252762983e+01
7.469372545313905221e+01,7.962220703874449157e+01
7.443073795148831096e+01,7.996931098219231160e+01
7.417190575899519445e+01,8.032178248357310224e+01
7.391712713625888398e+01,8.067964811417742510e+01
7.366629723766388338e+01,8.104292993389383071e+01
7.341930820673444202e+01,8.141164545240958716e+01
7.317604927341947985e+01,8.178580759363978814e+01
7.293640685322988304e+01,8.216542466341849149e+01
7.270026464814857547e+01,8.255050032048367825e+01
7.246750374923293236e+01,8.294103355078566153e+01
7.223800274082806538e+01,8.333701864514551971e+01
7.201163780630768940e+01,8.373844518028829498e+01
7.178828283525912468e+01,8.414529800327264297e+01
7.156780953202765261e+01,8.455755721933664404e+01
7.135008752553446243e+01,8.497519818317661588e+01
7.113498448028187227e+01,8.539819149367325224e+01
7.092236620845872608e+01,8.582650299207729461e+01
7.071209678305787349e+01,8.626009376366374681e+01
7.050403865191738362e+01,8.669892014286139670e+01
7.029805275259674602e+01,8.714293372186210718e+01
7.009399862799807579e+01,8.759208136271114142e+01
6.989173454264273744e+01,8.804630521287776901e+01
6.969111759951336182e+01,8.850554272430241554e+01
6.949200385737020724e+01,8.896972667591427353e+01
6.929424844845173936e+01,8.943878519961072016e+01
6.909770569646825322e+01,8.991264180968686048e+01
6.890222923479782935e+01,9.039121543570172435e+01
